Product, Origin Year, Development Year, Incremental Value
Comp, 1992, 1992, 110.0
Comp, 1992, 1993, 170.0
Comp, 1993, 1993, 200.0
Non-Comp, 1990, 1990, 45.2
Non-Comp, 1990, 1991, 64.8
Non-Comp, 1990, 1993, 37.0
Non-Comp, 1991, 1991, 50.0
Non-Comp, 1991, 1992, 75.0
Non-Comp, 1991, 1993, 25.0
Non-Comp, 1992, 1992, 55.0
Non-Comp, 1992, 1993, 85.0
Non-Comp, 1993, 1993, 100.0
Non-C, 1990, 1990, 45.2
Non-C, 1990, 1991, 64.8
Non-C, 1990, 1993, 37.0
Non-C, 1991, 1991, 50.0
Non-C, 1991, 1992, 75.0
Non-C, 1991, 1993, 25.0
Non-C, 1992, 1992, 55.0
Non-C, 1992, 1993, 85.0
Non-C, 1993, 1993, 100.0
Non-C, 1993, 1994, 100.0
Test1, 1991, 1991, 50.0
Test1, 1991, 1992, 75.0
Test1, 1991, 1993, 25.0
Test1, 1992, 1992, 55.0
Test1, 1992, 1993, 85.0
Test1, 1993, 1993, 100.0
Test1, 1994, 1994, 100.0
Test1, 1994, 1995, 100.0
ABC, 1992, 1993, 85.0
ABC, 1993, 1993, 100.0
ABC, 1994, 1994, 100.0
ABC, 1994, 1996, 100.0
Test3, 1993, 1993, 10.0
Test3, 1994, 1994, 20.0
Test3, 1994, 1995, 300.0
